,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How To Use This Sheet,Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Playlist Adds ,Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Songs for Playlists/Digital Tracking,Link, , , , ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotify,#,7-day growth,7-day change,28-day growth,28-day change,,Notes,,,12/19,12/5,11/26,11/21,11/14/2025,11/7/2025,10/31/2025,10/24/2025,10/17,10/10,10/3,9/26,9/19,9/12,9/5,8/29,8/22,8/15,8/8,8/1,7/25,7/18,7/11,7/2,6/27,6/20,6/13,6/6,5/30,5/23,5/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotify followers,"13,692",94,0.69%,205,1.52%,,,,,"13,598","13,563","13,500 ","13,487 ","13,475 ","13,459 ","13,442 ","13,379 ","13,328 ","13,287 ","13,240 ","13,211 ","13,129 ","13,037 ","12,876 ","12,858 ","12,852 ","12,825 ","12,793 ","12,765 ","12,748 ","12,733 ","12,705 ","12,690 ","12,669 ","12,647 ","12,599 ","12,562 ","12,503 ","12,469 ","12,435 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotify monthly listeners,"26,766","1,342",5.28%,0,0.00%,,,,,"25,424","25,029","26,025 ","26,766 ","27,462 ","28,375 ","29,167 ","29,887 ","32,588 ","37,782 ","42,277 ","42,866 ","41,840 ","39,660 ","36,441 ","36,736 ","36,941 ","35,878 ","36,283 ","36,364 ","36,615 ","37,647 ","38,140 ","38,337 ","40,581 ","42,165 ","43,006 ","41,912 ","38,716 ","33,382 ","29,476 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, , , , ,,Listeners,Saves,Save %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockland County,"40,435","2,848",7.58%,"6,097",17.76%,,12976,"3,487",26.87%,"37,587","36,171","34,786 ","34,338 ","33,449 ","32,501 ","31,308 ","29,847 ","27,990 ","26,141 ","24,081 ","21,875 ","18,507 ","15,825 ","9,982 ","8,254 ","7,812 ","4,864 ","1,530 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Watched the Light,"34,685","1,455",4.38%,"3,363",10.74%,,"11,232","2,636",23.47%,"33,230","32,459","31,628 ","31,322 ","30,774 ","30,136 ","29,359 ","28,485 ","27,261 ","26,055 ","24,719 ","23,221 ","21,035 ","19,041 ","14,825 ","13,348 ","13,025 ","11,884 ","10,759 ","8,609 ","7,398 ","5,443 ","1,062 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Play The Hits,"69,356","2,356",3.52%,"5,486",8.59%,,"  24,724 ","  4,590 ",18.56%,"67,000","65,679","64,309 ","63,870 ","62,979 ","61,964 ","60,702 ","59,287 ","57,380 ","55,620 ","53,593 ","51,485 ","48,240 ","45,422 ","40,199 ","38,716 ","38,313 ","36,987 ","35,773 ","34,323 ","33,636 ","32,724 ","31,501 ","29,773 ","28,552 ","26,869 ","24,722 ","20,771 ","15,455 ","8,086 ","1,037 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clams Casino,"84,829","4,998",6.26%,"11,814",16.18%,,"  28,541 ","  5,103 ",17.88%,"79,831","76,897","74,021 ","73,015 ","70,989 ","69,055 ","66,130 ","63,490 ","60,141 ","57,367 ","53,978 ","50,688 ","46,363 ","42,563 ","35,087 ","32,931 ","32,336 ","30,246 ","28,463 ","26,082 ","24,655 ","22,877 ","20,449 ","16,278 ","13,515 ","9,231 ","1,589 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Socials,, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter Followers,"1,547",18,1.18%,22,1.44%,,,,,"1,529","1,524","1,525 ","1,525 ","1,526 ","1,525 ","1,523 ","1,521 ","1,519 ","1,521 ","1,519 ","1,520 ","1,511 ","1,510 ","1,506 ","1,501 ","1,499 ","1,499 ","1,493 ","1,489 ","1,490 ","1,487 ","1,488 ","1,486 ","1,487 ","1,485 ","1,482 ","1,477 ","1,479 ","1,477 ","1,479 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Followers,"16,329",1,0.01%,28,0.17%,,,,,"16,328","16,321","16,308 ","16,301 ","16,293 ","16,277 ","16,261 ","16,257 ","16,247 ","16,241 ","16,238 ","16,240 ","16,237 ","16,218 ","16,207 ","16,205 ","16,204 ","16,199 ","16,197 ","16,195 ","16,191 ","16,187 ","16,184 ","16,178 ","16,175 ","16,168 ","16,160 ","16,154 ","16,153 ","16,151 ","16,153 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instagram Followers,"13,220",234,1.80%,567,4.48%,,,,,"12,986","12,981","12,681 ","12,653 ","12,630 ","12,631 ","12,608 ","12,279 ","12,122 ","12,028 ","11,937 ","11,900 ","11,850 ","11,352 ","11,235 ","11,091 ","11,005 ","10,740 ","10,626 ","10,577 ","10,563 ","10,447 ","10,392 ","10,028 ","9,826 ","9,753 ","9,416 ","9,125 ","8,996 ","8,903 ","8,626 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
